Gene	average_expression	Freq	Gene_category	Proportion_zero
ENSDARG00000002632	1.3030707414081257	22	other	0.0019108833492573613
ENSDARG00000002642	0.21143833479412402	520	other	0.045166333709719446
ENSDARG00000002644	0.3010676716715434	417	other	0.03621992530183271
ENSDARG00000002656	0.45227652810847646	723	other	0.06279857552332146
ENSDARG00000002659	1.775223258188962	5	other	4.342916702857639e-4
ENSDARG00000002663	0.42793379498493606	418	other	0.036306783635889864
ENSDARG00000002670	0.216922565166132	263	other	0.022843741857031183
ENSDARG00000002682	0.0732491866659687	390	other	0.03387475028228958
ENSDARG00000002690	0.819144957676031	457	other	0.039694258664118826
ENSDARG00000002701	0.18485185853059402	584	other	0.050725267089377225
ENSDARG00000002720	0.6143600462774976	136	other	0.011812733431772778
ENSDARG00000002731	0.46313189785246855	78	other	0.006774950056457917
ENSDARG00000002732	0.08357751284629292	1606	high zero count	0.13949448449578736
ENSDARG00000002745	1.8893006653672035	20	other	0.0017371666811430556
ENSDARG00000002748	0.2867271568213012	842	other	0.07313471727612264
ENSDARG00000002750	0.007144885998986023	232	other	0.020151133501259445
ENSDARG00000002754	0.3370975781326116	1692	high zero count	0.1469643012247025
ENSDARG00000002758	0.6378357069599901	100	other	0.008685833405715278
ENSDARG00000002768	1.3004020661020443	1593	high zero count	0.1383653261530444
ENSDARG00000002771	-0.1372414506862608	855	other	0.07426387561886563
ENSDARG00000002787	0.24445029312289304	11	other	9.554416746286806e-4
ENSDARG00000002790	2.1593174028205673	1	other	8.685833405715279e-5
ENSDARG00000002792	0.9311961080646776	20	other	0.0017371666811430556
ENSDARG00000002795	0.5192934414036078	689	other	0.05984539216537827
ENSDARG00000002797	0.22753981106721738	1551	high zero count	0.13471727612264398
ENSDARG00000002798	0.09046085798466623	356	other	0.030921566924346392
ENSDARG00000002826	0.15884172658563256	991	other	0.08607660905063841
ENSDARG00000002830	0.31069553906999503	291	other	0.02527577521063146
ENSDARG00000002831	0.1812325917175545	315	other	0.027360375228003126
ENSDARG00000002840	0.33060200093753284	88	other	0.007643533397029445
