Accession	Title	Type	Organism	Assays	Release Date	Processed Data	Raw Data	Present in Atlas	ArrayExpress URL
E-MTAB-5669	Copy Number Variation (CNV)  analysis of grade III 1p/19q co-deleted glioma	comparative genomic hybridization by array	Homo sapiens	197	2018-09-01	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-5669/processed/	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-5669/
E-MTAB-7161	RNA-Seq of A375 cells treated with tetracycline-based crosslinking probes, with and without competition by parent tetracyclines, to show specific binding of the tetracycline analogs Col-3 and doxycycline on rRNA substructures of the human ribosome	RNA-seq of coding RNA	Homo sapiens	18	2018-08-31	Data is not available	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-7161/
E-MTAB-6599	miR-196a is able to restore the aggressive phenotype of Annexin A1 CRISPR/Cas9 knock-out  pancreatic cancer cells	microRNA profiling by high throughput sequencing	Homo sapiens	6	2018-08-31	Data is not available	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-6599/
E-MTAB-5733	CG200745, an HDAC inhibitor, induces anti-tumour effects in cholangiocarcinoma cell lines targeting the Hippo pathway	transcription profiling by array	Homo sapiens	16	2018-08-31	Data is not available	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-5733/E-MTAB-5733.raw.1.zip		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-5733/
E-MTAB-7147	RNA-Seq of A375 cells treated with tetracycline-based crosslinking probes to identify binding sites for the tetracycline analogs Col-3 and doxycycline on the human ribosome	RNA-seq of coding RNA	Homo sapiens	18	2018-08-30	Data is not available	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-7147/
E-MTAB-6574	Transcriptomic analysis of Responsive and Non-responsive Human NK cells to Plasmodium falciparum-infected red blood cells	transcription profiling by array	Homo sapiens	20	2018-08-30	Data is not available	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-6574/E-MTAB-6574.raw.1.zip		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-6574/
E-MTAB-6868	Human notochordal cell transcriptome in the developing intervertebral disc	transcription profiling by array	Homo sapiens	7	2018-08-29	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-6868/E-MTAB-6868.processed.1.zip	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-6868/E-MTAB-6868.raw.1.zip		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-6868/
E-MTAB-5368	Phosphoglycerate dehydrogenase causes electron transport chain defect via impaired heme synthesis: RNA sequencing	RNA-seq of coding RNA	Homo sapiens	6	2018-08-29	Data is not available	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-5368/
E-MTAB-6661	RNAseq of isolated mitotic HeLa cells treated with Actinomycin D	RNA-seq of coding RNA	Homo sapiens	25	2018-08-28	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-6661/E-MTAB-6661.processed.1.zip	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-6661/
E-MTAB-7096	Illumina microarray analysis of MCF7 and SHSY5Y cells exposed to bilirubin	transcription profiling by array	Homo sapiens	12	2018-08-25	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-7096/E-MTAB-7096.processed.1.zip	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-7096/E-MTAB-7096.raw.1.zip		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-7096/
E-MTAB-6298	RNA-seq of total RNA from human adipose tissue stem cells induced to adipogenesis and osteogenesis for 24 hours	RNA-seq of coding RNA	Homo sapiens	36	2018-08-24	Data is not available	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-6298/
E-MTAB-6254	RNA-seq of coding RNA (polysomal and free fraction) from human adipose tissue stem cells treated with cyclopamine, purmorphamine and DMSO	RNA-seq of coding RNA	Homo sapiens	18	2018-08-24	Data is not available	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-6254/
E-MTAB-6653	Single cell sequencing of 3 lung carcinomas	RNA-seq of coding RNA from single cells	Homo sapiens	12	2018-08-18	Data is not available	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-6653/
E-MTAB-7025	RNA-seq of IMR-5/75 neuroblastoma cell line treated with JQ1, THZ1 or combination against untreated controls	RNA-seq of coding RNA	Homo sapiens	64	2018-08-17	Data is not available	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-7025/
E-MTAB-6687	Single cell RNA-seq of WTC-CRISPRi human induced pluripotent stem cells	RNA-seq of coding RNA from single cells	Homo sapiens	5	2018-08-17	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-6687/processed/	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-6687/
E-MTAB-6568	RNA-seq of IMR-5/75 neuroblastoma cell line upon TBX2 and/or MYCN knockdown	RNA-seq of coding RNA	Homo sapiens	144	2018-08-16	Data is not available	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-6568/
E-MTAB-6567	RNA-seq of CLB-GA neuroblastoma cell line upon TBX2 knockdown	RNA-seq of coding RNA	Homo sapiens	36	2018-08-16	Data is not available	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-6567/
E-MTAB-6562	ATAC-seq in neuroblastoma IMR-32 cell line	RNA-seq of coding RNA	Homo sapiens	4	2018-08-16	Data is not available	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-6562/
